"x_position_input","y_position_input","yaw_input","input_time","vel_x_input","vel_y_input","vel_w_input","x_ref","y_ref","yaw_ref","con_x_input","con_z_input","con_time","x_position_output","y_position_output","yaw_output","output_time","vel_x_output","vel_y_output","vel_w_output"
0.944828,-0.0354602,0.0765059,396.041,0.345712,0.0216476,0.138369,0.946526,0.113602,0.238897,0.383534,0.17794,396.05,0.951889,-0.0349904,0.0792697,396.06,0.361918,0.0287318,0.131148
0.951889,-0.0349904,0.0792697,396.06,0.361918,0.0287318,0.131148,0.946526,0.113602,0.238897,0.374347,0.175857,396.069,0.95946,-0.0341986,0.0816223,396.079,0.393217,0.0474895,0.0989503
0.95946,-0.0341986,0.0816223,396.079,0.393217,0.0474895,0.0989503,0.946526,0.113602,0.238897,0.36447,0.174083,396.09,0.967509,-0.0332418,0.0835452,396.101,0.408762,0.0430237,0.0978988
0.967509,-0.0332418,0.0835452,396.101,0.408762,0.0430237,0.0978988,0.946526,0.113602,0.238897,0.353959,0.172633,396.111,0.975739,-0.032505,0.085714,396.122,0.413249,0.0322259,0.115256
0.975739,-0.032505,0.085714,396.122,0.413249,0.0322259,0.115256,0.946526,0.113602,0.238897,0.343233,0.170998,396.131,0.98399,-0.0318353,0.0879148,396.141,0.41219,0.0364601,0.102616
0.98399,-0.0318353,0.0879148,396.141,0.41219,0.0364601,0.102616,0.946526,0.113602,0.238897,0.332487,0.169338,396.148,0.991986,-0.0310436,0.0890433,396.159,0.388624,0.0440438,0.0325833
0.991986,-0.0310436,0.0890433,396.159,0.388624,0.0440438,0.0325833,0.946526,0.113602,0.238897,0.322059,0.168488,396.171,0.999628,-0.0300813,0.0901472,396.181,0.377646,0.0501761,0.0765096
0.999628,-0.0300813,0.0901472,396.181,0.377646,0.0501761,0.0765096,0.946526,0.113602,0.238897,0.312075,0.167655,396.192,1.00716,-0.0292337,0.092089,396.202,0.378473,0.0345763,0.109811
1.00716,-0.0292337,0.092089,396.202,0.378473,0.0345763,0.109811,0.946526,0.113602,0.238897,0.30224,0.166191,396.21,1.01473,-0.0286521,0.0940958,396.223,0.376201,0.029863,0.0926175
1.01473,-0.0286521,0.0940958,396.223,0.376201,0.029863,0.0926175,0.946526,0.113602,0.238897,0.292389,0.164678,396.23,1.02212,-0.0279278,0.0956603,396.24,0.363532,0.040442,0.0750879
1.02212,-0.0279278,0.0956603,396.24,0.363532,0.040442,0.0750879,0.946526,0.113602,0.238897,0.282745,0.163498,396.251,1.02909,-0.027122,0.0975704,396.261,0.328819,0.035933,0.12257
1.02909,-0.027122,0.0975704,396.261,0.328819,0.035933,0.12257,1.0307,0.135074,0.260615,0.371484,0.176838,396.27,1.03881,-0.0258715,0.10083,396.285,0.326751,0.0488607,0.103148
1.03881,-0.0258715,0.10083,396.285,0.326751,0.0488607,0.103148,1.0307,0.135074,0.260615,0.358841,0.174381,396.291,1.04215,-0.0253666,0.101877,396.301,0.341643,0.051692,0.0991579
1.04215,-0.0253666,0.101877,396.301,0.341643,0.051692,0.0991579,1.0307,0.135074,0.260615,0.354479,0.173591,396.313,1.04946,-0.0243123,0.103789,396.323,0.379919,0.0506281,0.0870515
1.04946,-0.0243123,0.103789,396.323,0.379919,0.0506281,0.0870515,1.0307,0.135074,0.260615,0.344966,0.172149,396.331,1.05683,-0.023412,0.104407,396.341,0.364312,0.0455175,0.0449457
1.05683,-0.023412,0.104407,396.341,0.364312,0.0455175,0.0449457,1.0307,0.135074,0.260615,0.335381,0.171684,396.35,1.0641,-0.0224682,0.105797,396.36,0.363824,0.0485759,0.0871409
1.0641,-0.0224682,0.105797,396.36,0.363824,0.0485759,0.0871409,1.0307,0.135074,0.260615,0.325911,0.170635,396.372,1.07144,-0.0215262,0.107874,396.382,0.374056,0.0433468,0.116377
1.07144,-0.0215262,0.107874,396.382,0.374056,0.0433468,0.116377,1.0307,0.135074,0.260615,0.316361,0.16907,396.39,1.07908,-0.0207125,0.109987,396.401,0.386286,0.0421557,0.0940508
1.07908,-0.0207125,0.109987,396.401,0.386286,0.0421557,0.0940508,1.0307,0.135074,0.260615,0.306438,0.167476,396.409,1.08675,-0.0198042,0.111352,396.419,0.37868,0.046903,0.0500893
1.08675,-0.0198042,0.111352,396.419,0.37868,0.046903,0.0500893,1.0307,0.135074,0.260615,0.296468,0.166447,396.431,1.09416,-0.0188505,0.11254,396.444,0.364622,0.0470722,0.069341
1.09416,-0.0188505,0.11254,396.444,0.364622,0.0470722,0.069341,1.0307,0.135074,0.260615,0.286825,0.165551,396.451,1.10133,-0.0179404,0.114174,396.461,0.354993,0.0446279,0.0907291
1.10133,-0.0179404,0.114174,396.461,0.354993,0.0446279,0.0907291,1.0307,0.135074,0.260615,0.277494,0.164319,396.47,1.10835,-0.0170412,0.11595,396.48,0.348026,0.0453803,0.0796838
