"x_position_input","y_position_input","yaw_input","vel_x_input","vel_y_input","vel_w_input","con_x_input","con_z_input","con_time","state_in_time"
-1.28896592354179,-0.089580815667718,-2.45312860748955,0.771569091454177,0.79812881427936,-1.98520902206702,-1.30922247603512,-3.21945627008396,28.731,28.723
-1.28896592354179,-0.089580815667718,-2.45312860748955,0.771569091454177,0.79812881427936,-1.98520902206702,-1.34600513826438,-3.25272250126251,28.742,28.723
-1.28896592354179,-0.089580815667718,-2.45312860748955,0.771569091454177,0.79812881427936,-1.98520902206702,-1.35536466553571,-3.30292776961092,28.751,28.723
-1.28896592354179,-0.089580815667718,-2.45312860748955,0.771569091454177,0.79812881427936,-1.98520902206702,-1.38797885812896,-3.33699362896458,28.761,28.723
-1.25648352397517,-0.058197713887718,-2.53255782374931,0.847610609676163,0.767555973717147,-1.94739295227211,-1.38819340057242,-3.34692985339517,28.772,28.767
-1.25648352397517,-0.058197713887718,-2.53255782374931,0.847610609676163,0.767555973717147,-1.94739295227211,-1.41668442284828,-3.40671288167807,28.781,28.767
-1.25648352397517,-0.058197713887718,-2.53255782374931,0.847610609676163,0.767555973717147,-1.94739295227211,-1.46419474809395,-3.437500458868,28.791,28.767
-1.22119576973373,-0.028686145407915,-2.61013680235613,0.916405007207392,0.709819571615429,-1.97919572170223,-1.53757989797466,-3.45179964063975,28.811,28.806
-1.22119576973373,-0.028686145407915,-2.61013680235613,0.916405007207392,0.709819571615429,-1.97919572170223,-1.54952473935608,-3.46545073556346,28.823,28.806
-1.22119576973373,-0.028686145407915,-2.61013680235613,0.916405007207392,0.709819571615429,-1.97919572170223,-1.57232043736347,-3.54776750064215,28.84,28.806
-1.1734917918304,0.005188593830081,-2.70979516268736,0.993314054232522,0.640453583914751,-2.04131035530945,-1.63331104578751,-3.67548385143894,28.871,28.852
-1.1734917918304,0.005188593830081,-2.70979516268736,0.993314054232522,0.640453583914751,-2.04131035530945,-1.65909156776589,-3.70590790127695,28.881,28.852
-1.1734917918304,0.005188593830081,-2.70979516268736,0.993314054232522,0.640453583914751,-2.04131035530945,-1.63515980117778,-3.63975686552781,28.892,28.852
-1.12203226772374,0.034881349659525,-2.81611528631085,1.05978024423748,0.547345096122634,-2.18439851845838,-1.60611415257053,-3.61338400752312,28.901,28.897
