%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1698638743058203299,0.42967621818254575,0.0,0.0,0.0,0.0,-0.08124487707701136
1698638743068236510,0.43080349453657374,0.0,0.0,0.0,0.0,-0.07989767694790235
1698638743078293179,0.4317833632052452,0.0,0.0,0.0,0.0,-0.07911126332255898
1698638743088235644,0.4319536636037432,0.0,0.0,0.0,0.0,-0.07890621076019204
1698638743098285281,0.43353023445793615,0.0,0.0,0.0,0.0,-0.07835909414856398
1698638743108194529,0.4347047769845966,0.0,0.0,0.0,0.0,-0.07764560363421497
1698638743118254453,0.4353601703324018,0.0,0.0,0.0,0.0,-0.07682319703734382
1698638743128227184,0.43650534579108374,0.0,0.0,0.0,0.0,-0.07585838633770974
1698638743138212444,0.4381830500231076,0.0,0.0,0.0,0.0,-0.07474396137390822
1698638743148388674,0.4383590878793343,0.0,0.0,0.0,0.0,-0.07384426407577085
1698638743158216929,0.43924775841030944,0.0,0.0,0.0,0.0,-0.07161693638094309
1698638743168308427,0.4404215319828011,0.0,0.0,0.0,0.0,-0.07033979656733354
1698638743178316209,0.44126440946009954,0.0,0.0,0.0,0.0,-0.06908768391941428
1698638743188246828,0.4416914326257935,0.0,0.0,0.0,0.0,-0.06896991853609137
1698638743198343959,0.4429796686341633,0.0,0.0,0.0,0.0,-0.0676890299862471
1698638743208303119,0.44343255250721714,0.0,0.0,0.0,0.0,-0.0673744106591135
1698638743218265611,0.44456491504599,0.0,0.0,0.0,0.0,-0.06653310517099911
1698638743228584984,0.4459707834717631,0.0,0.0,0.0,0.0,-0.0663897537868169
1698638743238392546,0.4467934255258385,0.0,0.0,0.0,0.0,-0.06459957083036057
1698638743248262836,0.4471170120944987,0.0,0.0,0.0,0.0,-0.06458070913471295
1698638743258290524,0.44799781924428184,0.0,0.0,0.0,0.0,-0.06354755232210658
1698638743268303137,0.4493808190968259,0.0,0.0,0.0,0.0,-0.06250083824641094
1698638743278324226,0.4498656583941708,0.0,0.0,0.0,0.0,-0.060791162258321964
1698638743288200140,0.45104233033774094,0.0,0.0,0.0,0.0,-0.05895354536161798
1698638743298422220,0.45182816675459553,0.0,0.0,0.0,0.0,-0.057055496332014365
1698638743308341165,0.45235860380105875,0.0,0.0,0.0,0.0,-0.05617236980225865
1698638743318320290,0.45372947440774214,0.0,0.0,0.0,0.0,-0.05548159845966205
