x_position_input,y_position_input,yaw_input,input_time,vel_x_input,vel_y_input,vel_w_input,x_ref,y_ref,yaw_ref,con_x_input,con_z_input,con_time,x_position_output,y_position_output,yaw_output,output_time,vel_x_output,vel_y_output,vel_w_output
0.516171,0.0591672,0.0988718,404.739,0.458321,0.0481444,-0.0336438,0.545447,0.0212832,0.078,0.439003,0.0131387,404.752,0.525422,0.0600609,0.0988861,404.762,0.4667,0.04198,0.0242938,
0.525422,0.0600609,0.0988861,404.762,0.4667,0.04198,0.0242938,0.545447,0.0212832,0.078,0.430181,0.0131341,404.77,0.534966,0.0608541,0.0995028,404.781,0.489185,0.0404508,0.0238784,
0.534966,0.0608541,0.0995028,404.781,0.489185,0.0404508,0.0238784,0.545447,0.0212832,0.078,0.421081,0.0129387,404.79,0.54491,0.0618352,0.0997176,404.8,0.495018,0.0582016,0.029585,
0.54491,0.0618352,0.0997176,404.8,0.495018,0.0582016,0.029585,0.545447,0.0212832,0.078,0.411596,0.0128707,404.81,0.554403,0.0629522,0.10097,404.82,0.468223,0.0551315,0.0498192,
0.554403,0.0629522,0.10097,404.82,0.468223,0.0551315,0.0498192,0.545447,0.0212832,0.078,0.402539,0.0124738,404.83,0.563662,0.0640506,0.101657,404.84,0.459981,0.0553173,0.024099,
0.563662,0.0640506,0.101657,404.84,0.459981,0.0553173,0.024099,0.545447,0.0212832,0.078,0.393707,0.0122562,404.85,0.572891,0.0651881,0.102005,404.86,0.46673,0.0588043,0.0115165,
0.572891,0.0651881,0.102005,404.86,0.46673,0.0588043,0.0115165,0.545447,0.0212832,0.078,0.3849,0.012146,404.87,0.581809,0.0663717,0.100978,404.88,0.436163,0.0593994,-0.0335007,
0.581809,0.0663717,0.100978,404.88,0.436163,0.0593994,-0.0335007,0.545447,0.0212832,0.078,0.376391,0.0124711,404.889,0.590442,0.0674932,0.101108,404.899,0.428728,0.0525782,0.039156,
0.590442,0.0674932,0.101108,404.899,0.428728,0.0525782,0.039156,0.545447,0.0212832,0.078,0.368153,0.0124302,404.91,0.598997,0.0684371,0.102291,404.92,0.428349,0.0389005,0.0652564,
0.598997,0.0684371,0.102291,404.92,0.428349,0.0389005,0.0652564,0.654244,0.030641,0.0936,0.452132,0.0165063,404.931,0.607607,0.0691423,0.103066,404.941,0.433908,0.0396309,0.0162829,
0.607607,0.0691423,0.103066,404.941,0.433908,0.0396309,0.0162829,0.654244,0.030641,0.0936,0.443931,0.0162606,404.95,0.616484,0.0701235,0.10319,404.96,0.454951,0.0558552,0.00326705,
0.616484,0.0701235,0.10319,404.96,0.454951,0.0558552,0.00326705,0.654244,0.030641,0.0936,0.43547,0.0162213,404.97,0.625524,0.0712178,0.104215,404.98,0.453641,0.0531258,0.0634587,
0.625524,0.0712178,0.104215,404.98,0.453641,0.0531258,0.0634587,0.654244,0.030641,0.0936,0.426853,0.0158967,404.991,0.634648,0.0722736,0.105399,405.001,0.459722,0.0538274,0.0541473,
0.634648,0.0722736,0.105399,405.001,0.459722,0.0538274,0.0541473,0.654244,0.030641,0.0936,0.418156,0.0155214,405.01,0.643996,0.0734357,0.106109,405.02,0.469608,0.0615913,-0.00884149,
0.643996,0.0734357,0.106109,405.02,0.469608,0.0615913,-0.00884149,0.654244,0.030641,0.0936,0.409245,0.0152965,405.03,0.65313,0.074706,0.105183,405.04,0.452334,0.063009,-0.022446,
0.65313,0.074706,0.105183,405.04,0.452334,0.063009,-0.022446,0.654244,0.030641,0.0936,0.400535,0.0155899,405.051,0.662142,0.0758664,0.105441,405.061,0.450578,0.0534008,0.043636,
0.662142,0.0758664,0.105441,405.061,0.450578,0.0534008,0.043636,0.654244,0.030641,0.0936,0.391943,0.0155081,405.071,0.671193,0.0767731,0.106535,405.085,0.456215,0.0380841,0.0463604,
0.671193,0.0767731,0.106535,405.085,0.456215,0.0380841,0.0463604,0.654244,0.030641,0.0936,0.383319,0.0151613,405.091,0.680379,0.0776265,0.107055,405.102,0.460556,0.0508364,0.00940953,
0.680379,0.0776265,0.107055,405.102,0.460556,0.0508364,0.00940953,0.654244,0.030641,0.0936,0.374567,0.0149966,405.111,0.689511,0.0787879,0.107104,405.121,0.4478,0.0595954,0.021309,
0.689511,0.0787879,0.107104,405.121,0.4478,0.0595954,0.021309,0.654244,0.030641,0.0936,0.36586,0.0149812,405.13,0.698083,0.07986,0.10847,405.14,0.4223,0.0512138,0.0677694,
0.698083,0.07986,0.10847,405.14,0.4223,0.0512138,0.0677694,0.654244,0.030641,0.0936,0.357688,0.0145484,405.151,0.706435,0.0808765,0.109492,405.161,0.415761,0.0517922,0.0376732,
0.706435,0.0808765,0.109492,405.161,0.415761,0.0517922,0.0376732,0.762882,0.0416948,0.1092,0.441502,0.0186755,405.173,0.714799,0.0819773,0.110003,405.183,0.422621,0.0575076,0.0170357,
0.714799,0.0819773,0.110003,405.183,0.422621,0.0575076,0.0170357,0.762882,0.0416948,0.1092,0.433536,0.0185137,405.19,0.722936,0.0831053,0.108983,405.2,0.40396,0.055254,-0.0570451,
0.722936,0.0831053,0.108983,405.2,0.40396,0.055254,-0.0570451,0.762882,0.0416948,0.1092,0.425785,0.0188369,405.208,0.731138,0.0841228,0.108342,405.219,0.417715,0.0469807,0.00760834,
0.731138,0.0841228,0.108342,405.219,0.417715,0.0469807,0.00760834,0.762882,0.0416948,0.1092,0.417975,0.0190399,405.233,0.739671,0.0849926,0.109014,405.243,0.440392,0.0401757,0.0475084,
0.739671,0.0849926,0.109014,405.243,0.440392,0.0401757,0.0475084,0.762882,0.0416948,0.1092,0.409853,0.018827,405.251,0.748821,0.0858603,0.109515,405.261,0.471009,0.0505718,0.00140301,
0.748821,0.0858603,0.109515,405.261,0.471009,0.0505718,0.00140301,0.762882,0.0416948,0.1092,0.401145,0.0186682,405.269,0.758339,0.0870345,0.109467,405.279,0.476325,0.0626984,-0.00234799,
0.758339,0.0870345,0.109467,405.279,0.476325,0.0626984,-0.00234799,0.762882,0.0416948,0.1092,0.392082,0.0186834,405.291,0.767422,0.0881733,0.110752,405.301,0.444478,0.0540625,0.0735385,
0.767422,0.0881733,0.110752,405.301,0.444478,0.0540625,0.0735385,0.762882,0.0416948,0.1092,0.383432,0.0182763,405.32,0.780586,0.0897941,0.112138,405.33,0.437974,0.0564414,0.0215592,
0.780586,0.0897941,0.112138,405.33,0.437974,0.0564414,0.0215592,0.762882,0.0416948,0.1092,0.370897,0.0178371,405.334,0.784972,0.0903795,0.112228,405.344,0.433711,0.0600395,-0.0229342,
0.784972,0.0903795,0.112228,405.344,0.433711,0.0600395,-0.0229342,0.762882,0.0416948,0.1092,0.36672,0.0178085,405.35,0.793449,0.0917098,0.111496,405.361,0.420016,0.066482,-0.0140628,
0.793449,0.0917098,0.111496,405.361,0.420016,0.066482,-0.0140628,0.762882,0.0416948,0.1092,0.358641,0.0180405,405.37,0.801825,0.0928078,0.111781,405.381,0.419317,0.042338,0.0360502,
0.801825,0.0928078,0.111781,405.381,0.419317,0.042338,0.0360502,0.762882,0.0416948,0.1092,0.350663,0.0179501,405.39,0.810195,0.0934848,0.112489,405.4,0.416251,0.0330649,0.0234841,
0.810195,0.0934848,0.112489,405.4,0.416251,0.0330649,0.0234841,0.762882,0.0416948,0.1092,0.342701,0.0177259,405.41,0.818443,0.0943526,0.112629,405.42,0.408634,0.0534114,-0.00425954,
0.818443,0.0943526,0.112629,405.42,0.408634,0.0534114,-0.00425954,0.871334,0.0544419,0.1248,0.42624,0.0221325,405.43,0.826548,0.0954779,0.112564,405.441,0.403876,0.0543982,0.00482507,
